Co_ID,Exchange,Name,"Root
Ticker"," Market Cap (C$)
31-December-2023 "," O/S Shares
31-December-2023 ",Sector,"Sub
Sector","HQ
Location","HQ
Region",Listing Type,Listing Date,Interlisted I,Interlisted II,"Trading 
on OTC","TSX 
Venture 
Grad","Former
CPC",S&P/TSX Index,2023 TSX30,USA City,Asia Region," Volume YTD
31-December-2023 "," Value (C$) YTD
31-December-2023 "," Number of 
Trades YTD
31-December-2023 "," Number of
Months of 
Trading Data ",AFRICA,ASIA,AUS/NZ/PNG,CANADA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Royalty Streaming,Other Properties
MAW0001,TSX,Mawson Gold Limited,MAW," 107,485,495 "," 298,570,820 ", Mining ,,BC,Canada,TSXV Grad,20080212,,,,Y,,,,,," 87,198,515 "," 23,409,291 "," 10,354 ", 12 ,,,,,,,"Finland, Sweden",,Y,,,,,,,,,,,,,,,,,,
PIL0001,TSX,Liberty Gold Corp.,LGD," 106,686,639 "," 344,150,447 ", Mining ,,BC,Canada,Other,20110411,,,OTCQX,,,,,,," 73,038,452 "," 27,599,354 "," 29,417 ", 12 ,,,,,,,,"ID, UT",Y,,,,,,,,,,,,,,,,,,Oxide Gold
WAL0006,TSX,Wallbridge Mining Company Limited,WM," 101,624,954 "," 1,016,249,538 ", Mining ,,ON,Canada,,20000724,,,OTCQX,,,,,,," 157,488,648 "," 21,699,643 "," 35,383 ", 12 ,,,,"ON, QC",,,,,Y,,,,,,,,,,,,,,,,,,
AUR0018,TSX,Fury Gold Mines Limited,FURY," 97,516,792 "," 145,547,450 ", Mining ,,BC,Canada,TSXV Grad,20161101,NYSE MKT,,,Y,Y,,,,," 18,928,158 "," 13,659,648 "," 8,811 ", 12 ,,,,"NU, QC",,,,,Y,,,,,,,,,,,,,,,,,,
V-01810,TSX,Meridian Mining UK Societas,MNO," 92,177,629 "," 242,572,708 ", Mining ,,UK,UK/Europe,TSXV Grad,20220404,,,OTCQX,Y,,,,,," 61,054,288 "," 25,910,596 "," 13,115 ", 12 ,,,,,Brazil,,,,Y,,Y,,,,,,,,,,,,,,,,
MON0004,TSX,Moneta Gold Inc.,ME," 91,518,245 "," 122,024,327 ", Mining ,,ON,Canada,,19110701,,,OTCQX,,,,,,," 23,896,026 "," 28,025,465 "," 20,807 ", 12 ,,,,ON,,,,,Y,,,,,,,,,,,,,,,,,,
CON0093,TSX,Condor Gold plc,COG," 86,911,868 "," 193,137,485 ", Mining ,,UK,UK/Europe,Other,20180115,AIM,,,,,,,,," 4,577,069 "," 1,744,890 "," 1,399 ", 12 ,,,,,Nicaragua,,,,Y,,,,,,,,,,,,,,,,,,
AVI0002,TSX,Avino Silver & Gold Mines Ltd.,ASM," 86,768,651 "," 125,751,668 ", Mining ,,BC,Canada,TSXV Grad,20180108,NYSE MKT,,,Y,,,,,," 12,264,675 "," 11,027,878 "," 13,603 ", 12 ,,,,,Mexico,,,,Y,Y,Y,,,,,,,,,,,,,,,,
RAT0001,TSX,St. Augustine Gold and Copper Limited,SAU," 85,969,405 "," 1,011,404,767 ", Mining ,,Hong Kong,Asia,Other,20110121,,,,,,,,,Hong Kong," 18,076,319 "," 1,333,030 "," 1,379 ", 12 ,,Philippines,,,,,,,Y,,Y,,,,,,,,,,,,,,,,
STE0019,TSX,Steppe Gold Ltd.,STGO," 78,397,960 "," 104,530,613 ", Mining ,,ON,Canada,IPO,20180522,,,OTCQX,,,,,,," 14,031,950 "," 12,552,019 "," 11,167 ", 12 ,,Mongolia,,,,,,,Y,Y,,,,,,,,,,,,,,,,,
