Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
31-December-2023 "," O/S Shares
31-December-2023 ",Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,Interlisted,Trading on OTC,"CPC/
Former
CPC","S&P/TSX Venture 
Composite Index",2023 Venture 50,USA City,Asia Region," Volume YTD
31-December-2023 "," Value (C$) YTD
31-December-2023 "," Number of 
Trades YTD
31-December-2023 "," Number of
Months in
Trading Data ",AFRICA,ASIA,AUS/NZ/PNG,CANADA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Royalty Streaming,Other Properties
V-04511,1182095,TSXV,Aldebaran Resources Inc.,ALDE," 151,139,017 "," 169,819,120 ",Mining,,BC,Canada,Other,20181102,,OTCQX,,Y,,,," 6,540,178 "," 5,613,904 "," 2,548 ", 12 ,,,,,Argentina,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-01438,13121,TSXV,Lumina Gold Corp.,LUM," 149,702,716 "," 415,840,877 ",Mining,,BC,Canada,,,,OTCQB,,Y,,,," 12,813,437 "," 5,969,732 "," 3,073 ", 12 ,,,,,Ecuador,,,,,Y,,,,,,,,,,,,,,,,,,
V-03699,1142685,TSXV,Regulus Resources Inc.,REG," 148,165,493 "," 124,508,818 ",Mining,,AB,Canada,Other,20101220,Lima (BVL),OTCQX,,Y,,,," 5,958,828 "," 4,890,832 "," 2,476 ", 12 ,,,,,Peru,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-02340,1105685,TSXV,Minera Alamos Inc.,MAI," 143,438,833 "," 448,246,353 ",Mining,,ON,Canada,TSX Comedown,20100511,,OTCQX,,Y,,,," 58,206,160 "," 20,497,422 "," 13,126 ", 12 ,,,,,Mexico,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-00103,1074354,TSXV,Amex Exploration Inc.,AMX," 141,442,911 "," 103,243,001 ",Mining,,QC,Canada,,,,OTCQX,,Y,,,," 16,498,951 "," 24,299,848 "," 19,944 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03674,1140685,TSXV,G2 Goldfields Inc.,GTWO," 134,644,930 "," 184,445,110 ",Mining,,ON,Canada,IPO,20101118,,OTCQX,,Y,,,," 26,573,100 "," 20,898,997 "," 5,801 ", 12 ,,,,,Guyana,,,,,Y,,,,,,,,,,,,,,,,,,
V-03654,1139180,TSXV,Emerita Resources Corp.,EMO," 131,846,161 "," 227,320,968 ",Mining,,BC,Canada,QT,20130111,,OTCQB,Y,Y,,,," 63,003,506 "," 32,356,270 "," 22,119 ", 12 ,,,,,,,Spain,,,Y,Y,,,,,,,,Y,,,,,,,,,
V-00604,19554,TSXV,ATEX Resources Inc.,ATX," 131,641,103 "," 175,521,470 ",Mining,,BC,Canada,,,,,,Y,Y,,," 128,319,631 "," 136,199,597 "," 43,662 ", 12 ,,,,,Chile,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-01127,1062275,TSXV,Laurion Mineral Exploration Inc.,LME," 125,089,398 "," 263,346,102 ",Mining,,ON,Canada,,,,,,Y,,,," 24,731,856 "," 11,904,467 "," 9,865 ", 12 ,,,,ON,,,,,,Y,,,,,,,,,,,,,,,,Y,,
V-03712,1144950,TSXV,Orogen Royalties Inc.,OGN," 123,806,728 "," 193,448,012 ",Mining,,BC,Canada,Other,20200820,,OTCQX,,Y,,,," 17,152,303 "," 9,709,884 "," 5,060 ", 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
