,CompanyName,Ticker
0,Liberty Gold Corp.,LGD.TO
1,Wallbridge Mining Company Limited,WM.TO
2,Fury Gold Mines Limited,FURY.TO
3,Meridian Mining UK Societas,MNO.TO
4,Condor Gold plc,COG.TO
5,Avino Silver & Gold Mines Ltd.,ASM.TO
6,St. Augustine Gold and Copper Limited,SAU.TO
7,Steppe Gold Ltd.,STGO.TO
8,Americas Gold and Silver Corporation,USA.TO
9,Augusta Gold Corp.,G.TO
10,Vista Gold Corp.,VGZ.TO
11,Xanadu Mines Ltd.,XAM.TO
12,Loncor Gold Inc.,LN.TO
13,Generation Mining Limited,GENM.TO
14,Serabi Gold plc,SBI.TO
15,Globex Mining Enterprises Inc.,GMX.TO
16,Novo Resources Corp.,NVO.TO
17,Xtra-Gold Resources Corp.,XTG.TO
18,Silver Bear Resources plc,SBR.TO
19,Signal Gold Inc.,SGNL.TO
20,Canagold Resources Ltd.,CCM.TO
21,Treasury Metals Inc.,TML.TO
22,Talisker Resources Ltd.,TSK.TO
23,Almaden Minerals Ltd.,AMM.TO
24,Gold Springs Resource Corp.,GRC.TO
25,RTG Mining Inc.,RTG.TO
26,Belo Sun Mining Corp.,BSX.TO
27,Orvana Minerals Corp.,ORV.TO
28,Yorbeau Resources Inc.,YRB.TO
29,Silver Elephant Mining Corp.,ELEF.TO
30,Sabre Gold Mines Corp.,SGLD.TO
31,Euro Sun Mining Inc.,ESM.TO
32,Minco Silver Corporation,MSV.TO
33,Golden Minerals Company,AUMN.TO
34,"Silver Bull Resources, Inc.",SVB.TO
35,Starcore International Mines Ltd.,SAM.TO
36,Excellon Resources Inc.,EXN.TO
37,Gold Mountain Mining Corp.,GMTN.TO
38,Sulliden Mining Capital Inc.,SMC.TO
39,Orea Mining Corp.,OREA.TO
