,CompanyName,Ticker
0,Aldebaran Resources Inc.,ALDE.V
1,Lumina Gold Corp.,LUM.V
2,Regulus Resources Inc.,REG.V
3,Minera Alamos Inc.,MAI.V
4,Amex Exploration Inc.,AMX.V
5,G2 Goldfields Inc.,GTWO.V
6,Emerita Resources Corp.,EMO.V
7,ATEX Resources Inc.,ATX.V
8,Laurion Mineral Exploration Inc.,LME.V
9,Orogen Royalties Inc.,OGN.V
10,Chesapeake Gold Corp.,CKG.V
11,Doubleview Gold Corp.,DBG.V
12,Hot Chili Limited,HCH.V
13,Banyan Gold Corp.,BYN.V
14,Rio2 Limited,RIO.V
15,Thesis Gold Inc.,TAU.V
16,Integra Resources Corp.,ITR.V
17,Andean Precious Metals Corp.,APM.V
18,Guanajuato Silver Company Ltd.,GSVR.V
19,Magna Mining Inc.,NICU.V
20,NorthIsle Copper and Gold Inc.,NCX.V
21,Goliath Resources Limited,GOT.V
22,Skyharbour Resources Ltd.,SYH.V
23,Sailfish Royalty Corp.,FISH.V
24,Minaurum Gold Inc.,MGG.V
25,Teuton Resources Corp.,TUO.V
26,Founders Metals Inc.,FDR.V
27,Azimut Exploration Inc.,AZM.V
28,Great Pacific Gold Corp.,GPAC.V
29,Majestic Gold Corp.,MJS.V
30,Northern Superior Resources Inc.,SUP.V
31,Gowest Gold Ltd.,GWA.V
32,Eskay Mining Corp.,ESK.V
33,Spanish Mountain Gold Ltd.,SPA.V
34,Aurion Resources Ltd.,AU.V
35,Brixton Metals Corporation,BBB.V
36,Radisson Mining Resources Inc.,RDS.V
37,Blackrock Silver Corp.,BRC.V
38,Condor Resources Inc.,CN.V
39,Cerrado Gold Inc.,CERT.V
40,Sierra Madre Gold and Silver Ltd.,SM.V
41,Soma Gold Corp.,SOMA.V
42,West Vault Mining Inc.,WVM.V
43,Scottie Resources Corp.,SCOT.V
44,Kootenay Silver Inc.,KTN.V
45,Aftermath Silver Ltd.,AAG.V
46,Silver Storm Mining Ltd.,SVRS.V
47,Summa Silver Corp.,SSVR.V
48,Metallic Minerals Corp.,MMG.V
49,American Creek Resources Ltd.,AMK.V
50,Heliostar Metals Ltd.,HSTR.V
51,Adventus Mining Corporation,ADZN.V
52,Pasofino Gold Limited,VEIN.V
53,Outcrop Silver & Gold Corporation,OCG.V
54,Lavras Gold Corp.,LGC.V
55,Monument Mining Limited,MMY.V
56,White Gold Corp.,WGO.V
57,Trigon Metals Inc.,TM.V
58,Alpha Exploration Ltd.,ALEX.V
59,North Peak Resources Ltd.,NPR.V
60,Mirasol Resources Ltd.,MRZ.V
61,Nicola Mining Inc.,NIM.V
